WATSON Band No.,Wavelength center (nm)
1,275
2,280.5
3,286
4,291.6
5,297.1
6,302.6
7,308.1
8,313.7
9,319.1
10,324.6
11,330.2
12,335.7
13,341.2
14,346.7
15,352.2
16,357.7
17,363.3
18,368.8
19,374.3
20,379.8
21,385.3
22,390.8
23,396.3
24,401.9
25,407.4
26,412.9
27,418.4
28,423.9
29,429.4
30,435
31,440.5
32,446
